Российская Федерация,2020,4,Covid19 confirmed,1350
Российская Федерация,2020,4,Covid19 suspected,398
Российская Федерация,2020,4,Covid19 contributed,435
Российская Федерация,2020,4,Covid19 unrelated,642
Российская Федерация,2020,4,Covid19 daily reported,1145
Российская Федерация,2020,5,Covid19 confirmed,5926
Российская Федерация,2020,5,Covid19 suspected,1677
Российская Федерация,2020,5,Covid19 contributed,1609
Российская Федерация,2020,5,Covid19 unrelated,3457
Российская Федерация,2020,5,Covid19 daily reported,3686
Российская Федерация,2020,6,Covid19 confirmed,5825
Российская Федерация,2020,6,Covid19 suspected,1492
Российская Федерация,2020,6,Covid19 contributed,1484
Российская Федерация,2020,6,Covid19 unrelated,3534
Российская Федерация,2020,6,Covid19 daily reported,4681
Российская Федерация,2020,7,Covid19 confirmed,5063
Российская Федерация,2020,7,Covid19 suspected,1021
Российская Федерация,2020,7,Covid19 contributed,1237
Российская Федерация,2020,7,Covid19 unrelated,3050
Российская Федерация,2020,7,Covid19 daily reported,4522
Российская Федерация,2020,8,Covid19 confirmed,3436
Российская Федерация,2020,8,Covid19 suspected,582
Российская Федерация,2020,8,Covid19 contributed,1184
Российская Федерация,2020,8,Covid19 unrelated,2471
Российская Федерация,2020,8,Covid19 daily reported,3241
Российская Федерация,2020,9,Covid19 confirmed,4579
Российская Федерация,2020,9,Covid19 suspected,859
Российская Федерация,2020,9,Covid19 contributed,1428
Российская Федерация,2020,9,Covid19 unrelated,3313
Российская Федерация,2020,9,Covid19 daily reported,3592
Российская Федерация,2020,10,Covid19 confirmed,13077
Российская Федерация,2020,10,Covid19 suspected,2026
Российская Федерация,2020,10,Covid19 contributed,1794
Российская Федерация,2020,10,Covid19 unrelated,7436
Российская Федерация,2020,10,Covid19 daily reported,7344
Российская Федерация,2020,11,Covid19 confirmed,21262
Российская Федерация,2020,11,Covid19 suspected,3845
Российская Федерация,2020,11,Covid19 contributed,2288
Российская Федерация,2020,11,Covid19 unrelated,10214
Российская Федерация,2020,11,Covid19 daily reported,12229
Российская Федерация,2020,12,Covid19 confirmed,27012
Российская Федерация,2020,12,Covid19 suspected,5396
Российская Федерация,2020,12,Covid19 contributed,2505
Российская Федерация,2020,12,Covid19 unrelated,10418
Российская Федерация,2020,12,Covid19 daily reported,17091
Российская Федерация,2021,1,Covid19 confirmed,22747
Российская Федерация,2021,1,Covid19 suspected,4708
Российская Федерация,2021,1,Covid19 contributed,2337
Российская Федерация,2021,1,Covid19 unrelated,8086
Российская Федерация,2021,1,Covid19 daily reported,16064
Российская Федерация,2021,2,Covid19 confirmed,14791
Российская Федерация,2021,2,Covid19 suspected,2329
Российская Федерация,2021,2,Covid19 contributed,1956
Российская Федерация,2021,2,Covid19 unrelated,5708
Российская Федерация,2021,2,Covid19 daily reported,12836
Российская Федерация,2021,3,Covid19 confirmed,15411
Российская Федерация,2021,3,Covid19 suspected,2384
Российская Федерация,2021,3,Covid19 contributed,1434
Российская Федерация,2021,3,Covid19 unrelated,4813
Российская Федерация,2021,3,Covid19 daily reported,12778
Российская Федерация,2021,4,Covid19 confirmed,13839
Российская Федерация,2021,4,Covid19 suspected,2134
Российская Федерация,2021,4,Covid19 contributed,1106
Российская Федерация,2021,4,Covid19 unrelated,3571
Российская Федерация,2021,4,Covid19 daily reported,11287
Российская Федерация,2021,5,Covid19 confirmed,13077
Российская Федерация,2021,5,Covid19 suspected,2182
Российская Федерация,2021,5,Covid19 contributed,987
Российская Федерация,2021,5,Covid19 unrelated,2750
Российская Федерация,2021,5,Covid19 daily reported,11353
Российская Федерация,2021,6,Covid19 confirmed,20447
Российская Федерация,2021,6,Covid19 suspected,3328
Российская Федерация,2021,6,Covid19 contributed,897
Российская Федерация,2021,6,Covid19 unrelated,2766
Российская Федерация,2021,6,Covid19 daily reported,14013
Российская Федерация,2021,7,Covid19 confirmed,39942
